Reference,Bill Date,Due Date,GL Account,Payee Name,Paid,Unpaid,Paid Date,Property Name,Approval Status,GL Account Name
0024350A,3/4/2025,3/4/2025,7620 - Other Professional Fees,"3D Design Inspection and Appraisal Services, Inc","4,000.00",0,3/18/2025,Casa del Mariposa,Approved,Appfolio Vendor Discounts
743,4/2/2024,4/2/2024,1405 - Building Improvements,3WY Construction & Remodeling LLC,"4,830.00",0,4/23/2024,Villa Luna Blanca,Approved,Closing Cost
47104,4/10/2024,4/10/2024,6810 - Meals & Entertainment,5 O'Clock Coffee Company,350.65,0,4/11/2024,Villa Olivetta,Approved,Closing Cost
48736,5/21/2024,5/21/2024,6810 - Meals & Entertainment,5 O'Clock Coffee Company,8.33,0,6/3/2024,Villa Solara,Approved,Closing Cost
INV-127,4/1/2024,4/1/2024,6210 - Repair,A & I American Colors LLC,360,0,4/11/2024,Casa del Mariposa,Approved,Closing Cost
INV-133,7/1/2024,7/1/2024,6210 - Repair,A & I American Colors LLC,200,0,7/18/2024,Villa Driftwood,Approved,Building Improvements
INV-134,7/1/2024,7/1/2024,6210 - Repair,A & I American Colors LLC,180,0,7/18/2024,The Velvet Horizon,Approved,Building Improvements
INV-136,7/1/2024,7/1/2024,6210 - Repair,A & I American Colors LLC,380,0,7/18/2024,Villa Cielo Alto,Exempt,Building Improvements
INV-137,7/1/2024,7/1/2024,6210 - Repair,A & I American Colors LLC,360,0,7/18/2024,Villa Sereno,Approved,Building Improvements
INV-139,7/12/2024,7/12/2024,6210 - Repair,A & I American Colors LLC,160,0,8/17/2024,Casa Aurora,Approved,Building Improvements
INV-140,8/1/2024,8/1/2024,6210 - Repair,A & I American Colors LLC,500,0,9/11/2024,The Orchid Pavilion,Approved,Building Improvements
INV-141,8/1/2024,8/1/2024,6210 - Repair,A & I American Colors LLC,400,0,9/11/2024,Villa Sereno,Approved,Building Improvements
INV-138,8/1/2024,8/1/2024,6210 - Repair,A & I American Colors LLC,250,0,9/11/2024,The Velvet Horizon,Approved,Building Improvements
INV-142,8/14/2024,8/14/2024,6210 - Repair,A & I American Colors LLC,680,0,9/11/2024,Villa Solara,Approved,Building Improvements
INV-146,9/20/2024,9/20/2024,6210 - Repair,A & I American Colors LLC,480,0,10/16/2024,The Velvet Horizon,Approved,Building Improvements
INV-145,9/20/2024,9/20/2024,6210 - Repair,A & I American Colors LLC,480,0,11/13/2024,Villa Sereno,Approved,Building Improvements
24523SA,5/23/2024,5/23/2024,6210 - Repair,A- Christian Glass & Mirror,195,0,6/21/2024,Villa Azure Cove,Approved,Building Improvements
245315A,5/23/2024,5/23/2024,6210 - Repair,A- Christian Glass & Mirror,250,0,6/21/2024,Casa Aurora,Exempt,Building Improvements
24530SA,5/30/2024,6/29/2024,6210 - Repair,A- Christian Glass & Mirror,250,0,6/18/2024,Villa Sereno,Exempt,Building Improvements
24531SA,5/30/2024,5/30/2024,6210 - Repair,A- Christian Glass & Mirror,250,0,6/18/2024,The Orchid Pavilion,Exempt,Building Improvements
24809PB,8/9/2024,9/8/2024,6210 - Repair,A- Christian Glass & Mirror,250,0,9/10/2024,Villa Terra Nova,Approved,Building Improvements
24821SA,8/21/2024,9/20/2024,6210 - Repair,A- Christian Glass & Mirror,250,0,9/18/2024,Villa Terra Nova,Exempt,Building Improvements
241003TS,10/2/2024,11/1/2024,6210 - Repair,A- Christian Glass & Mirror,230,0,3/25/2025,The Golden Banyan,Approved,Building Improvements
241002TS,10/2/2024,11/1/2024,6210 - Repair,A- Christian Glass & Mirror,230,0,3/25/2025,Villa Terra Nova,Approved,Building Improvements
24701SA,7/1/2024,7/1/2024,6730 - Supplies Repairs and Maintenance,A- Christian Glass & Mirror,250,0,9/10/2024,The Orchid Pavilion,Exempt,Building Improvements
15929,8/5/2024,8/19/2024,6210 - Repair,A Lighthouse Electric,425,0,8/7/2024,Casa Aurora,Approved,Building Improvements
15931,8/6/2024,8/20/2024,6210 - Repair,A Lighthouse Electric,350,0,8/13/2024,Villa Solara,Approved,Building Improvements
15949,8/26/2024,8/26/2024,6210 - Repair,A Lighthouse Electric,425,0,9/18/2024,Sapphire Ridge Retreat,Approved,Building Improvements
15683,3/25/2025,3/25/2025,6210 - Repair,A Lighthouse Electric,175,0,4/25/2025,Villa Terra Nova,Approved,Building Improvements
30071,4/22/2025,5/22/2025,6210 - Repair,A Lighthouse Electric,0,"1,800.00",,Villa Luna Blanca,Approved,Building Improvements
I6503,4/19/2024,4/22/2024,1405 - Building Improvements,A Plus Environmental Solutions,"4,500.00",0,4/23/2024,Villa Olivetta,Approved,Building Improvements
i6514,4/20/2024,4/20/2024,1405 - Building Improvements,A Plus Environmental Solutions,"7,000.00",0,4/23/2024,Sapphire Ridge Retreat,Exempt,Building Improvements
i6563,4/26/2024,4/29/2024,1405 - Building Improvements,A Plus Environmental Solutions,"7,000.00",0,5/3/2024,Villa Luna Blanca,Approved,Building Improvements
q2178,5/7/2024,5/22/2024,1405 - Building Improvements,A Plus Environmental Solutions,"8,286.40",0,5/13/2024,The Velvet Horizon,Approved,Building Improvements
i6664,5/8/2024,5/23/2024,1405 - Building Improvements,A Plus Environmental Solutions,"7,406.00",0,6/5/2024,Sapphire Ridge Retreat,Exempt,Building Improvements
i6811,5/20/2024,5/24/2024,1405 - Building Improvements,A Plus Environmental Solutions,"7,406.00",0,6/5/2024,Villa Luna Blanca,Approved,Building Improvements
i6971,6/6/2024,7/6/2024,1405 - Building Improvements,A Plus Environmental Solutions,206.31,0,7/29/2024,Villa Azure Cove,Exempt,Building Improvements
i7228,7/3/2024,7/3/2024,1405 - Building Improvements,A Plus Environmental Solutions,658.93,0,7/19/2024,Villa Solara,Approved,Building Improvements
i7610,8/16/2024,8/16/2024,1405 - Building Improvements,A Plus Environmental Solutions,"14,250.00",0,8/28/2024,The Marula Nest,Approved,Building Improvements
I7848,9/7/2024,9/7/2024,1405 - Building Improvements,A Plus Environmental Solutions,880,0,10/16/2024,Villa Driftwood,Approved,Building Improvements
i8331,10/31/2024,11/29/2024,1405 - Building Improvements,A Plus Environmental Solutions,605.77,0,12/24/2024,Whispering Palms Estate,Approved,Building Improvements
i8555,11/25/2024,11/25/2024,1405 - Building Improvements,A Plus Environmental Solutions,400,0,12/18/2024,The Velvet Horizon,Approved,Building Improvements
i7374,7/24/2024,8/23/2024,6210 - Repair,A Plus Environmental Solutions,575,0,8/17/2024,The Velvet Horizon,Approved,Building Improvements
i9447,2/21/2025,3/23/2025,6210 - Repair,A Plus Environmental Solutions,575,0,3/7/2025,Villa Sereno,Approved,Building Improvements
i6558,4/25/2024,5/25/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,4/25/2024,Villa Sereno,Approved,Building Improvements
i6231,4/30/2024,4/30/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,47.61,0,5/1/2024,Villa Azure Cove,Approved,Building Improvements
i6389,4/30/2024,5/15/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,5/1/2024,Casa Seraphina,Approved,Building Improvements
i6668,5/7/2024,6/6/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,5/13/2024,Villa Azure Cove,Approved,Building Improvements
i6754,5/14/2024,6/13/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,5/16/2024,Whispering Palms Estate,Approved,Building Improvements
i6942,6/4/2024,7/4/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,6/6/2024,The Marula Nest,Approved,Building Improvements
i6974,6/10/2024,6/25/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,6/13/2024,The Velvet Horizon,Approved,Building Improvements
i7217,7/2/2024,8/1/2024,6490 - Lift Station Maintenance,A Plus Environmental Solutions,45,0,7/12/2024,Casa Seraphina,Approved,Building Improvements
